DAY,CENTERLAT,CENTERLON,FCOUNT
2010-06-26,43.1,-89.4,1
2010-06-27,43.1,-89.4,14
2010-07-07,43.1,-89.4,3
2010-07-15,43.1,-89.4,11
2010-07-18,43.1,-89.4,2
2010-07-22,43.1,-89.4,14
2010-07-23,43.1,-89.4,27
2010-07-28,43.1,-89.4,1
2010-08-08,43.1,-89.4,7
2010-08-09,43.1,-89.4,2
2010-08-13,43.1,-89.4,13
2010-08-20,43.1,-89.4,2
2010-08-31,43.1,-89.4,17
2010-09-01,43.1,-89.4,9
2010-09-02,43.1,-89.4,1
2010-09-06,43.1,-89.4,10
2010-09-18,43.1,-89.4,14
2009-02-26,43.1,-89.4,1
2009-04-25,43.1,-89.4,1
2009-04-26,43.1,-89.4,5
2009-05-13,43.1,-89.4,3
2009-05-14,43.1,-89.4,11
2009-06-08,43.1,-89.4,29
2009-06-19,43.1,-89.4,66
2009-06-22,43.1,-89.4,1
2009-07-11,43.1,-89.4,5
2009-08-08,43.1,-89.4,16
2009-08-29,43.1,-89.4,1
2009-09-27,43.1,-89.4,1
2008-01-07,43.1,-89.4,13
2008-04-11,43.1,-89.4,2
2008-04-25,43.1,-89.4,31
2008-05-02,43.1,-89.4,2
2008-05-26,43.1,-89.4,8
2008-05-30,43.1,-89.4,4
2008-06-05,43.1,-89.4,46
2008-06-08,43.1,-89.4,5
2008-06-09,43.1,-89.4,7
2008-06-12,43.1,-89.4,20
2008-06-13,43.1,-89.4,8
2008-06-14,43.1,-89.4,5
2008-06-28,43.1,-89.4,2
2008-07-02,43.1,-89.4,1
2008-07-07,43.1,-89.4,1
2008-07-08,43.1,-89.4,20
2008-07-10,43.1,-89.4,1
2008-07-11,43.1,-89.4,60
2008-08-04,43.1,-89.4,29
2007-03-21,43.1,-89.4,2
2007-03-22,43.1,-89.4,9
2007-03-31,43.1,-89.4,1
2007-04-03,43.1,-89.4,10
2007-05-01,43.1,-89.4,2
2007-05-16,43.1,-89.4,1
2007-05-24,43.1,-89.4,1
2007-06-02,43.1,-89.4,1
2007-06-03,43.1,-89.4,4
2007-06-04,43.1,-89.4,4
2007-06-21,43.1,-89.4,2
2007-07-04,43.1,-89.4,11
2007-07-09,43.1,-89.4,6
2007-07-27,43.1,-89.4,1
2007-08-07,43.1,-89.4,1
2007-08-12,43.1,-89.4,6
2007-08-14,43.1,-89.4,21
2007-08-19,43.1,-89.4,9
2007-08-22,43.1,-89.4,39
2007-08-27,43.1,-89.4,9
2007-09-22,43.1,-89.4,3
2007-10-01,43.1,-89.4,1
2007-10-18,43.1,-89.4,1
2006-03-12,43.1,-89.4,1
2006-04-07,43.1,-89.4,2
2006-04-14,43.1,-89.4,1
2006-04-16,43.1,-89.4,6
2006-04-19,43.1,-89.4,10
2006-05-17,43.1,-89.4,5
2006-05-24,43.1,-89.4,7
2006-05-25,43.1,-89.4,6
2006-05-30,43.1,-89.4,7
2006-06-25,43.1,-89.4,4
2006-07-10,43.1,-89.4,1
2006-07-20,43.1,-89.4,29
2006-07-22,43.1,-89.4,11
2006-07-27,43.1,-89.4,94
2006-07-30,43.1,-89.4,1
2006-08-01,43.1,-89.4,10
2006-08-06,43.1,-89.4,4
2006-08-09,43.1,-89.4,1
2006-08-24,43.1,-89.4,103
2006-08-25,43.1,-89.4,68
2006-09-04,43.1,-89.4,2
2006-09-27,43.1,-89.4,1
2006-10-04,43.1,-89.4,14
2005-03-30,43.1,-89.4,5
2005-03-31,43.1,-89.4,1
2005-04-07,43.1,-89.4,6
2005-05-11,43.1,-89.4,7
2005-05-13,43.1,-89.4,8
2005-05-19,43.1,-89.4,6
2005-05-22,43.1,-89.4,1
2005-05-27,43.1,-89.4,5
2005-06-05,43.1,-89.4,6
2005-06-10,43.1,-89.4,1
2005-06-11,43.1,-89.4,43
2005-06-24,43.1,-89.4,1
2005-06-25,43.1,-89.4,2
2005-07-04,43.1,-89.4,13
2005-07-20,43.1,-89.4,12
2005-07-21,43.1,-89.4,36
2005-07-23,43.1,-89.4,20
2005-07-25,43.1,-89.4,6
2005-07-26,43.1,-89.4,9
2005-08-03,43.1,-89.4,1
2005-08-04,43.1,-89.4,3
2005-08-18,43.1,-89.4,5
2005-09-13,43.1,-89.4,6
2005-09-19,43.1,-89.4,3
2005-09-22,43.1,-89.4,26
2005-09-25,43.1,-89.4,1
2005-11-05,43.1,-89.4,3
2004-04-17,43.1,-89.4,2
2004-04-18,43.1,-89.4,1
2004-04-21,43.1,-89.4,1
2004-05-08,43.1,-89.4,1
2004-05-09,43.1,-89.4,16
2004-05-18,43.1,-89.4,10
2004-05-21,43.1,-89.4,67
2004-05-22,43.1,-89.4,26
2004-05-23,43.1,-89.4,40
2004-05-30,43.1,-89.4,1
2004-06-09,43.1,-89.4,3
2004-06-12,43.1,-89.4,8
2004-06-24,43.1,-89.4,5
2004-07-03,43.1,-89.4,5
2004-07-09,43.1,-89.4,1
2004-07-16,43.1,-89.4,4
2004-07-21,43.1,-89.4,1
2004-08-02,43.1,-89.4,8
2004-08-03,43.1,-89.4,39
2004-08-04,43.1,-89.4,23
2004-08-17,43.1,-89.4,1
2004-08-18,43.1,-89.4,1
2004-08-27,43.1,-89.4,6
2004-09-15,43.1,-89.4,5
2004-10-30,43.1,-89.4,1
2003-04-04,43.1,-89.4,2
2003-04-19,43.1,-89.4,2
2003-04-30,43.1,-89.4,2
2003-05-01,43.1,-89.4,9
2003-05-11,43.1,-89.4,7
2003-06-24,43.1,-89.4,14
2003-06-25,43.1,-89.4,1
2003-07-04,43.1,-89.4,3
2003-07-06,43.1,-89.4,43
2003-07-07,43.1,-89.4,5
2003-07-15,43.1,-89.4,30
2003-07-30,43.1,-89.4,1
2003-07-31,43.1,-89.4,8
2003-08-07,43.1,-89.4,1
2003-08-21,43.1,-89.4,3
2003-08-25,43.1,-89.4,10
2003-11-02,43.1,-89.4,1
2003-11-23,43.1,-89.4,2
2002-03-08,43.1,-89.4,1
2002-03-09,43.1,-89.4,2
2002-04-18,43.1,-89.4,3
2002-04-19,43.1,-89.4,3
2002-05-09,43.1,-89.4,3
