DAY,CENTERLAT,CENTERLON,FCOUNT
6/26/2010,43.1,-89.4,1
6/27/2010,43.1,-89.4,14
7/7/2010,43.1,-89.4,3
7/15/2010,43.1,-89.4,11
7/18/2010,43.1,-89.4,2
7/22/2010,43.1,-89.4,14
7/23/2010,43.1,-89.4,27
7/28/2010,43.1,-89.4,1
8/8/2010,43.1,-89.4,7
8/9/2010,43.1,-89.4,2
8/13/2010,43.1,-89.4,13
8/20/2010,43.1,-89.4,2
8/31/2010,43.1,-89.4,17
9/1/2010,43.1,-89.4,9
9/2/2010,43.1,-89.4,1
9/6/2010,43.1,-89.4,10
9/18/2010,43.1,-89.4,14
2/26/2009,43.1,-89.4,1
4/25/2009,43.1,-89.4,1
4/26/2009,43.1,-89.4,5
5/13/2009,43.1,-89.4,3
5/14/2009,43.1,-89.4,11
6/8/2009,43.1,-89.4,29
6/19/2009,43.1,-89.4,66
6/22/2009,43.1,-89.4,1
7/11/2009,43.1,-89.4,5
8/8/2009,43.1,-89.4,16
8/29/2009,43.1,-89.4,1
9/27/2009,43.1,-89.4,1
1/7/2008,43.1,-89.4,13
4/11/2008,43.1,-89.4,2
4/25/2008,43.1,-89.4,31
5/2/2008,43.1,-89.4,2
5/26/2008,43.1,-89.4,8
5/30/2008,43.1,-89.4,4
6/5/2008,43.1,-89.4,46
6/8/2008,43.1,-89.4,5
6/9/2008,43.1,-89.4,7
6/12/2008,43.1,-89.4,20
6/13/2008,43.1,-89.4,8
6/14/2008,43.1,-89.4,5
6/28/2008,43.1,-89.4,2
7/2/2008,43.1,-89.4,1
7/7/2008,43.1,-89.4,1
7/8/2008,43.1,-89.4,20
7/10/2008,43.1,-89.4,1
7/11/2008,43.1,-89.4,60
8/4/2008,43.1,-89.4,29
3/21/2007,43.1,-89.4,2
3/22/2007,43.1,-89.4,9
3/31/2007,43.1,-89.4,1
4/3/2007,43.1,-89.4,10
5/1/2007,43.1,-89.4,2
5/16/2007,43.1,-89.4,1
5/24/2007,43.1,-89.4,1
6/2/2007,43.1,-89.4,1
6/3/2007,43.1,-89.4,4
6/4/2007,43.1,-89.4,4
6/21/2007,43.1,-89.4,2
7/4/2007,43.1,-89.4,11
7/9/2007,43.1,-89.4,6
7/27/2007,43.1,-89.4,1
8/7/2007,43.1,-89.4,1
8/12/2007,43.1,-89.4,6
8/14/2007,43.1,-89.4,21
8/19/2007,43.1,-89.4,9
8/22/2007,43.1,-89.4,39
8/27/2007,43.1,-89.4,9
9/22/2007,43.1,-89.4,3
10/1/2007,43.1,-89.4,1
10/18/2007,43.1,-89.4,1
3/12/2006,43.1,-89.4,1
4/7/2006,43.1,-89.4,2
4/14/2006,43.1,-89.4,1
4/16/2006,43.1,-89.4,6
4/19/2006,43.1,-89.4,10
5/17/2006,43.1,-89.4,5
5/24/2006,43.1,-89.4,7
5/25/2006,43.1,-89.4,6
5/30/2006,43.1,-89.4,7
6/25/2006,43.1,-89.4,4
7/10/2006,43.1,-89.4,1
7/20/2006,43.1,-89.4,29
7/22/2006,43.1,-89.4,11
7/27/2006,43.1,-89.4,94
7/30/2006,43.1,-89.4,1
8/1/2006,43.1,-89.4,10
8/6/2006,43.1,-89.4,4
8/9/2006,43.1,-89.4,1
8/24/2006,43.1,-89.4,103
8/25/2006,43.1,-89.4,68
9/4/2006,43.1,-89.4,2
9/27/2006,43.1,-89.4,1
10/4/2006,43.1,-89.4,14
3/30/2005,43.1,-89.4,5
3/31/2005,43.1,-89.4,1
4/7/2005,43.1,-89.4,6
5/11/2005,43.1,-89.4,7
5/13/2005,43.1,-89.4,8
5/19/2005,43.1,-89.4,6
5/22/2005,43.1,-89.4,1
5/27/2005,43.1,-89.4,5
6/5/2005,43.1,-89.4,6
6/10/2005,43.1,-89.4,1
6/11/2005,43.1,-89.4,43
6/24/2005,43.1,-89.4,1
6/25/2005,43.1,-89.4,2
7/4/2005,43.1,-89.4,13
7/20/2005,43.1,-89.4,12
7/21/2005,43.1,-89.4,36
7/23/2005,43.1,-89.4,20
7/25/2005,43.1,-89.4,6
7/26/2005,43.1,-89.4,9
8/3/2005,43.1,-89.4,1
8/4/2005,43.1,-89.4,3
8/18/2005,43.1,-89.4,5
9/13/2005,43.1,-89.4,6
9/19/2005,43.1,-89.4,3
9/22/2005,43.1,-89.4,26
9/25/2005,43.1,-89.4,1
11/5/2005,43.1,-89.4,3
4/17/2004,43.1,-89.4,2
4/18/2004,43.1,-89.4,1
4/21/2004,43.1,-89.4,1
5/8/2004,43.1,-89.4,1
5/9/2004,43.1,-89.4,16
5/18/2004,43.1,-89.4,10
5/21/2004,43.1,-89.4,67
5/22/2004,43.1,-89.4,26
5/23/2004,43.1,-89.4,40
5/30/2004,43.1,-89.4,1
6/9/2004,43.1,-89.4,3
6/12/2004,43.1,-89.4,8
6/24/2004,43.1,-89.4,5
7/3/2004,43.1,-89.4,5
7/9/2004,43.1,-89.4,1
7/16/2004,43.1,-89.4,4
7/21/2004,43.1,-89.4,1
8/2/2004,43.1,-89.4,8
8/3/2004,43.1,-89.4,39
8/4/2004,43.1,-89.4,23
8/17/2004,43.1,-89.4,1
8/18/2004,43.1,-89.4,1
8/27/2004,43.1,-89.4,6
9/15/2004,43.1,-89.4,5
10/30/2004,43.1,-89.4,1
4/4/2003,43.1,-89.4,2
4/19/2003,43.1,-89.4,2
4/30/2003,43.1,-89.4,2
5/1/2003,43.1,-89.4,9
5/11/2003,43.1,-89.4,7
6/24/2003,43.1,-89.4,14
6/25/2003,43.1,-89.4,1
7/4/2003,43.1,-89.4,3
7/6/2003,43.1,-89.4,43
7/7/2003,43.1,-89.4,5
7/15/2003,43.1,-89.4,30
7/30/2003,43.1,-89.4,1
7/31/2003,43.1,-89.4,8
8/7/2003,43.1,-89.4,1
8/21/2003,43.1,-89.4,3
8/25/2003,43.1,-89.4,10
11/2/2003,43.1,-89.4,1
11/23/2003,43.1,-89.4,2
3/8/2002,43.1,-89.4,1
3/9/2002,43.1,-89.4,2
4/18/2002,43.1,-89.4,3
4/19/2002,43.1,-89.4,3
5/9/2002,43.1,-89.4,3
5/12/2002,43.1,-89.4,3
5/29/2002,43.1,-89.4,14
6/3/2002,43.1,-89.4,7
6/4/2002,43.1,-89.4,4
6/10/2002,43.1,-89.4,3
6/11/2002,43.1,-89.4,18
6/26/2002,43.1,-89.4,1
7/20/2002,43.1,-89.4,17
7/22/2002,43.1,-89.4,2
7/26/2002,43.1,-89.4,2
7/28/2002,43.1,-89.4,2
7/29/2002,43.1,-89.4,2
8/11/2002,43.1,-89.4,2
8/13/2002,43.1,-89.4,2
8/17/2002,43.1,-89.4,4
8/21/2002,43.1,-89.4,6
8/22/2002,43.1,-89.4,2
9/2/2002,43.1,-89.4,10
9/19/2002,43.1,-89.4,12
9/29/2002,43.1,-89.4,9
4/5/2001,43.1,-89.4,12
4/7/2001,43.1,-89.4,1
4/11/2001,43.1,-89.4,1
4/21/2001,43.1,-89.4,1
5/3/2001,43.1,-89.4,8
5/11/2001,43.1,-89.4,2
5/21/2001,43.1,-89.4,1
6/5/2001,43.1,-89.4,2
6/12/2001,43.1,-89.4,20
6/14/2001,43.1,-89.4,33
6/18/2001,43.1,-89.4,5
7/17/2001,43.1,-89.4,3
7/22/2001,43.1,-89.4,2
8/1/2001,43.1,-89.4,19
8/2/2001,43.1,-89.4,294
8/9/2001,43.1,-89.4,13
8/22/2001,43.1,-89.4,20
8/25/2001,43.1,-89.4,19
9/7/2001,43.1,-89.4,1
9/8/2001,43.1,-89.4,17
10/10/2001,43.1,-89.4,1
4/20/2000,43.1,-89.4,4
5/8/2000,43.1,-89.4,2
5/11/2000,43.1,-89.4,1
5/12/2000,43.1,-89.4,2
5/17/2000,43.1,-89.4,1
5/18/2000,43.1,-89.4,20
5/30/2000,43.1,-89.4,13
5/31/2000,43.1,-89.4,34
6/1/2000,43.1,-89.4,74
6/2/2000,43.1,-89.4,4
6/13/2000,43.1,-89.4,27
6/14/2000,43.1,-89.4,4
7/3/2000,43.1,-89.4,13
7/9/2000,43.1,-89.4,1
7/26/2000,43.1,-89.4,5
7/30/2000,43.1,-89.4,12
8/1/2000,43.1,-89.4,9
8/17/2000,43.1,-89.4,4
8/26/2000,43.1,-89.4,38
9/3/2000,43.1,-89.4,32
9/11/2000,43.1,-89.4,132
9/12/2000,43.1,-89.4,1
2/11/1999,43.1,-89.4,12
4/3/1999,43.1,-89.4,4
4/8/1999,43.1,-89.4,1
4/11/1999,43.1,-89.4,1
4/22/1999,43.1,-89.4,1
5/16/1999,43.1,-89.4,23
5/17/1999,43.1,-89.4,79
6/2/1999,43.1,-89.4,6
6/6/1999,43.1,-89.4,7
